"NAMA","KOMENTAR"
"miss.melia","Ga dimana"" yang namanya peluang selingkuh itu pasti ada. Bedanya orang"" yang setia dan komitmen gaakan pernah terbuai. Itulah kenapa kita cari pasangan harus yang setia karna kesetiaan mahal. Intinya gaada pembenaran dalam hal selingkuh. Karna selingkuh itu kesalahan fatal karna menghancurkan komitmen yang dibuat atas nama Tuhan."
"arfinyunari","Jaman sekolah dah banyak kok demen demen an gini. Disekolah berdua mulu ama si guru, tapi gak ke speak aja. Nganggep nya ya cuma bocil, bisa apa sih si bocil"
"siskariantini","kalau gurunya, udh ke laut aja. Didiskors aja, sama suruh bersiin wc seluruh sekolah dan ngepel lapangan olahraga dan sekolahnya, ga perlu digaji ke dia tp lgsung dikasiin gajinya ke istri selama setaun. Hahaa"
"odotandri","selingkuh antara murid dan guru itu udah banyak.... 😂"
"nvvitaaaaa","Yaela emg dari dulu banyak guru beginian, banyak banget godain siswinya terus siswinya kepancing🤣"
"siskariantini","Ini mah anaknya harus dikuatin bimbingan agama dan moralnya, terutama dari ortunya"
"darinsy__","Makin kesini pelaku perselingkuhan makin ga tau malu dan ga tau diri , bahkan di viralin pun ada yg ga kapok malah merasa jd korban 🥲🫠"
"rikhanufry","Sakit nih anak, masih bocah aja udah ada bibit"" pelakor ! Neng"" .. kasian ortu kamu.. biayain skolah cuma buat godain suami orang..!! Perlu di kasih arahan nih bocil, takutnya dia obsesi lagi ama suami orang !  .."
"camb.o46","Mukanya ditutup ...bisa aja karangan cerita😂"
"i_chillid7","Zaman sekarang kayak udah gak ada adab lagi ya"
"samawmeika_","Bener kenapa rata rata yg gatel itu guru olahraga ya, sama guru agama sih sumpah"
"akuikiari","Yang begini mah bukan hal baru, guru aku waktu sekolah aja nikah sama temen ku setelah istrinya meninggal"
"nur_alfan_setiawan","kayanya banyak ya guru olahrga yg aneh-aneh."
"lailaramadhayanti","Gurunya juga tuh salahin kurang bersyukur amat"
"lola.nfl12","Datengin sih keluarganya si murid"
"chaerrys1004","Kalo kasus gini tuh yg di sorot jangan cewenya aja... cowonya juga, pak guru ini pasti centil samape muridnya kelepek-kelepek"
"irsanrahmanda","Ribet zaman sekarang ngatain bocil yg upload juga sama aja bocah. urusan rumah tangga orang di upload ke medsos ga ada faedahnya."
"dewinugraeni_24","Jujur ini yang buat gw takut nikah,Bayangin aja istrinya hampir sempurna aja di gituin,apalagi gw yang cuma biasa² aja😢"
"olivia_dmoe","Sepertinya lagi trend ya perselingkuhan 😌😌😌🤌🤌🤌"
"uppium","kalauo PNS laporin ke BKD, Laporin atasannya dulu, ancamannya ya pemecatan dan mutasi. Si siswi juga dipanggil ortunya, karena gimana pun secara hukum itu anak di bawah umur. Gurunya terancam pemecatan dan penjara lho, cewenya terancam di""didik"" di rumah."
"aprilianggiep","Ah banyak ko guru ganjen ke siswi. Sebenarnya balik ke siswi lg dia punya harga diri gak. Gue jg pernah ngalama in pas sekolah. Karena gue bervalue ya gak gue menghindar. pada dasarnya aja sama-sama ganjen"
"onealareza","bocilnya juga salah dia sendiri bilang obsesi. Ngebet banget ke gurunya. Meskipun si bocil dan gurunya salah. Ya yg paling salah si bocil, udah tau itu gurunya trs udh punya istri, punya anak bisa-bisanya obsesi bgt ke org yg udah berkeluarga. Kalo laki mah ibarat kucing, dikasih ikan asin ya disantap."
"nblbyslsbla_","emang bener, aku waktu jadi saksi partai kan kmpul tuh sama kpps dll nya nah ada salah 1 anggota kpps nya ngedeketin / genit gt padahal udah punya anak sama istri"
"dila25_","Anak2 sekarang tuh parah banget tau padahal masi sekolah kek mereka ga mikirin masa depan samsek"
"poppie.nva","Gemes amat baca chat tuh bocil ga ada rasa nyesel malah kek nantang ga sih"
"zllkxr","tidak tau diri, jujur siapa sih emang ga bakal suka sama guru muda ganteng, tp kalau sampe ngerusak rumah tangga orang keterlaluan banget😢"
"missjatu","Pertanyaannya, Kenapa ya banyak banget anak-anak remaja dan dewasa awal tuh denial. Uda tahu salah tapi gak mau disalahkan. Ngeri banget kalau calon Ibu yg nanti nya punya anak, mendidik anak-anak nya dg cara gini. Sedih"
"delia_hyunn","Kadang suka heran sama orang yg suka sama punya orang😂 dia gaada yg deketin apa gimana si? Apa gaada yg suka sama sekali gitu??? Bisa bisa nya suka sama yang punya orang😂 gaada harga diri nya banget😢"
"dhee.liaa","Ini yg saya takutkan buat guru-guru yg masih muda muda pula . Takutnya anak-anak aku di didik dengan secara berlebihan"
"v.iramissu_","Dari jaman gue sekolah guru olahraga emg gada obeng dr dulu tapi ga sampe kek gini juga, ini juga gurunya respon sih jadinya yaudah.. ibarat kucing yg dikasih ikan asin"
"nmdpdewi","mantan kesayangan lo aja baru jadi guru les udah pacarin bocah muridnya apalagi kalo dia udh nikah dijadiin selingkuhan kali itu bocil bocil "
"ipahnuraa","pokonya bukan guru olahrga aja tapi bnyak yg penting masih muda aja ampe di pepet trus pernah juga ada yg sampe hamdun dan di gugurin"
"sastri29_10","Dulu pas jadi murid. Aku sempat terobsesi sama guru laki-laki eh taunya nikah yaudah deh. Boro-boro mau ngajak potbar, ngomong aja takut .. sekarang guruku sudah di Surga tanpa tau perasaan ku hahahah"
"whays___","Banyak trit selingkuhan sekarang. Niatnya bikin trit itu supaya pada kapok gak selingkuh. Nyatanya makin banyak yg selingkuh. Dilemma…"
"intanstm","Aku ga kaget denger guru dan siswa... karena itu udah pengalaman salah satu keluarga aku"
"lelaki_hibernasi","Seorang suami hatus bisa jagai aib istrinya yg dulu atau pun yg akan datang begitu pun sebaliknya.. karna di agama itu diajarkan kan.."
"justcallme_april_","Dulu waktu aku SMA juga ada kok yang kayak gini,tapi bedanya belum punya istri.menurutku sih,mau dia udah punya istri atau belum emang harusnya gak boleh.karna dia guru,dia panutan muridnya.yakali di pacaran sama muridnya."
"child.fucker","yang kaya gini mah banyak cuy.. dulu di sekolah gue aja murid pacaran sama satpam "
"lelaki_hibernasi","Dan ini pentingnya dalam berumah tangga.. walaupun kalian sekolah tinggi.. harusnya aib keluarga di jaga bukan di umbar.. kalian harus bisa selesaikan berdua pasangan, diskusikan dan cari solusi meski sebuah perceraian.."
"fufu_ayu","Orang tuanya si Bocil kemana ? Tp bapak guru olah raganya juga salah sih, dia orang pertama yg membuka jalannya perselingkuhan"
"osahas","Pecat guru lakinya, DO bocah nya"
"lelaki_hibernasi","Gurunya udah punya istri (berarti kan dia cowo yaa) selingkuh sama siswa (berarti cowo juga kan) 😂😂 setau gue siswa cowo dan siswi cewe 😂😂"
"wellnt.id","Guru di Gugu dan di tiRu.. Lah kalo gurunya begini apanya yang mau ditiru.. #Ripp akal sehat dan karakter dunia pendidikan🙌🙌"
"afrinaulfah","Kek temen gue. Suaminya PNS umur 40an, istrinya juga PNS, mereka udah punya anak 2. Lah suaminya malah ada 'maen' sama anak SMA yg lagi PPL di kantornya!! Suaminya dinas luar kota, yg dibawa malah si anak SMA. Temen gue milih cerai. Abis itu anak lulus, langsung dinikahin sama suaminya temen gue itu."
"withnetasd","Wkwk udah gak kaget sama yang ginian,dulu kepala sekolah gue malah selingkuh sama anak murid nya 😂anak murid nya juga kegatelan tiap istirahat ke kantor kepala sekolah idih amit-amit 🤮"
"0_wawa_888o","Kok ngeri anak gadis jaman sekarang😢"
"wulananggreyni","HAHAHA, yuk nikah sama gurunya adek manis, terus kamu punya anak. apakah akan seindah saat setan bisikan pas kalian selingkuh 😌. ntar punya anak dari orokan laki bentuk gitu, bisa buat over baby blues loh 😁🙏🏻"
"davidhaikel08","Waduh pelakor ga tuh? Ga bisa di satu pihak aja sih  suami sama bini nya komunikasi nya gimana dulu ? Menurut saya emang keduanya salah tapi gabisa di pungkiri mungkin ada permasalahan dari rumah tangga kita ga aDA yang tau jadi jangan satu pihak aja"
"zaimayeon","Modelan guru gini banyak. Kadang sampe bikin ilfeel 🙂"
"frhan.adha","Disini guru olahraganya punya kuasa buat nolak, tp kenapa semua pada fokus ke murid cewenya? Yg orang dewasa disini kan guru olahrAganya"
"anggican12_","Gw pernah tuh nyebarin guru yg udh punya istri tapi pacaran sama murid nya anak SMP pula, besok nya gw di panggil sama guru itu dan di ancem🥲"
"willyanggara.s","Salah pula cara si istri nya kalau begitu pantes aja selingkuh🤦🏻‍♂️"
"via_apriel97","Jaman SMP dlu pernah ada guru yang deketin aku. Risih banget. Alhamdulillah sih bisa jaga jarak.. Dulu kan gada wa, gabisa blokir nomor juga.. Sampe skrang pun semua medsos saya blokir.."
"erni.ningning","Ngeri ya ama manusia-manusia jaman sekarang. Ga bocil nya ga yg tua nya. Sama aja. 😵😵‍💫"
"marbellsgd","Panggil ke BP, undang ortu si bocil, guru dan istrinya, buka semua nya di forum itu, sanksi tegas jika ada bukti kuat dengan mengeluarkan si bocil dari sekolah tersebut, untuk gurunya sanksi juga dengan diberi nonaktifkan"
"dinamrdn__","Dah gabenerr siswinya dan gurunya😢masyaallah"
"aninditaabb","Jadi keinget dulu temen adek ku juga jadi simpenan gurunya di sekolahnya, ada gila gilanya sih pak guru  bener-bener kalo weekend juga jalan tapi gatau istrinya sampe sekarang kayanya gatau"
"harisaji_sandora","Dari dulu emang udah begini, dulu tmn gw (cwe) jadi selingkuhan guru malah Sampe nginep ke hotel sekamar berdua, yaah.. balik ke guru nya ajasi, cewe mah masih ababil gampang banget di hasut"
"pstmlaa","Di sekolain bukan buat jadi pelakor dek"
"mirakeiii_","gila.. dek... cinta emang buta.., TaPI BUAT COWO NYA SADAR WOI KAU UDH PNYA istri sama ANAK"
"silviario.tanjung96","Jadi suami gak bersyukur punya istri, siap-siap hancur nunggu azab dri allah"
"sitinurlaela2202","Sudah dari jamaan dulu selalu ada yg modelan kaya gini biasanya memang di dominasi sama guru olahraga haha 😂"
"ainiqirany","sampe sekarang agak gimana kalau liat guru olahraga cowok muda :”)"
"ryan4ndhika","Intinya orang selingkuh itu zina ga ada kata lain..mustahil kalo tidak berhubungan badan"
"23st.wolf","pecat dan keluarkan dr sekolah, blacklist ngajar dan skorsing 2 tahun buat si cewe"
"leny.septia","Abis ini tu guru keilangan pekerjaan dah,, trs ditiggal tu cewe, abis itu merengek ke istri minta balikan😢,, apakah akan begitu??"
"nb.abill","Lulus mau jadi apa masi sekolah aja udh jadi pelakor 😮"
"1lhami","Maaf ya, sebenernya ini ga salah juga sih kalo emang mereka suka sama suka dan si cowoknya mampu biayain nafkahnya ya nikahin aja jadi siswi istri ke-2 wong diagamanya juga ga salah. Memang karna udah viral jadi terlihat saling merasa tersakiti tapi apa yg mau disalahkan kalo udah ada suka sama suka yg harusnya udah dinikahkan bukan jadi drama sosial media"
"dizzy_id","Bocah labil, nanti beberapa tahun kedepan pasti nyesel dan malu sama kelakuan sekarang, gak nyiapin masa depan malah sibuk jd ani-ani😂"
"vihokratana.oslo","Tolong ya, masih banyak jomblo diluar sana. JANGAN sama orang yg sudah MENIKAH🔥. Lu itu mahal , jangan mau murahan, rusak keluarga orang, ingat karma, Tuhan"
"nitaputri.kurniaty","Cape gue liatin kasus akhir jaman. Nauzubillahmindzalik jauh jatuhin 7 turunan ku dari kelakuan cowo begini dan cewe begini"
"regianoo","Wkwkwkw dari SMA udah mau nikah, sampe segitu ke suami orang, inget cil umur lo jauh, udah gatel kali pasti tuh bocil, dan si laki juga pasti ngaku kalo udah cerai"
"ambaraprillia30_2nd","Kalo disekolah gw dulu, gurunya cewe muridnya cowo, sama2 dah punya pasangan tp selingkuh, mana gurunya 2 org yg kepincut sama ni murid cowo, padahal nih murid biasa aja, gak cakep2 amat 😂😂"
"pratiwidesyeka","Ngeri anak SMA sekarang ,  udah pada fokus belajar aja. Masih kecil dah jadi pelakor tar gedean dikit jadi aniani dahh"
"octaviane_kalalo","sampe se agresif gitu bocahnya kelenjehan.Makin kesini kasus kasus perselingkuhan, makin bar bar & gak tau malu ya"
"imarahmazz","punya istri cantik dan s2 pula, malah milih bocah bau kencur , sehat kah pak? punya anak cewe juga loh...."
"finda.annisa","Semoga ditindak tegas ya kasian istri dan anak-anak jadi korbannya😢😢😢"
"sabrnaaf","jir anak SMA sekarang ngeri2 sedep ya, pasti guru olahraganyaa keliatan muda😭🙏🏻"
"novia.shahab","Yg kayak begini banyak banget, jangankan bocah SMA, anak sekarang masih SMP aja banyak yg mau sama om om demi duit kok😂"
"aristaladjgaa","Kasihan istri dan anak-anaknya ya Allah😢"
"findestories","Naudzubillah hi midzalik.. Perempuan zaman sekarang astagfirullah, kenapa suka laki orang sih"
"lahhterusss","dunia sedang tidak baik-baik saja sodara-sodata"
"hanny_biya","ngeri  , enak banget ya hidup dijaman sekarang gampang ya viralin beginian biar ancur barengan gitu kan enak sama sama ancur lebur sampe jadi debu ,, jangan ada kasihan sedikitpun 🔥🔥🔥🔥"
"uchansusan_","Buat bapak2 di luar sana.. Plis ikut ambil peran untuk didik anak nya.. karena biasanya kalau gini salah satu impact dari fatherless.. Apalagi cewe ya, sosok ayah yg hangat, melindungi, mengayomi.. Itu sangat penting.. kalau anak cewe ga bisa dapetin itu, dia akan cari sosok itu di luar sna.. Buat para suami: pak, ijab qobul itu bukan cuma antara bapak dan mertua bpak loh.. Tapi jg sama Allah.. Tanggung jawab bapak di dunia aja udah gede, bapak emang udah yakin pahalanya sbesar jabal uhud buat selametin bapak nanti di akhirat?"
"dtarizkf","Semua cewek yg model kek siswi itu SAKIT !! Susah disembuhin dan bakalan terulang terus sampe dia nikah 😂"
"elina___29","Ga heran sih pada begitu ,soalnya anak sekolah jaman sekarang beda samaa anak sekolah jaman dulu, sekarang SMP aja tampilanya udah ngeri-ngeri , kaya SMP & SMA  itu samaa sekarang bocah-bocahnya"
"ranggapra_","gimana ini bapa ibu kementrian, masa ada pengajar yg sudah jadi polemik PA guru ""olahraga MUDA"" berselingkuh dengan siswi nya sendiri? ada tanggapan bapa ibu dari kementrian?"
"ddindreswari","Kalo ga bisa dibilangin baik baik, Kata aku si kasih Tau ke orang tuanya, suka ga suka baik atau buruk orang tua mesti Tau kelakuan anaknya yang kaya gini, jangan lupa diskusi (nyolot) sama instansi sekolah soal nasib suaminya, jadi bininya yang repot 😢"
"maryahulfaa","Tuh bocil ga mikirin perasaan ortu nya sendiri jg malah bilang mau berhenti sekolah hahaha duh Cinta gak selamanya Indah dek...... "
"arliannasrul","Ternyata kata-kata idaman guru penjas itu nyata"
"ibnuchaidr","GURU OLAHRAGA GUA SAMPAI DIPENJARA"
"yollsky","disekola gw malah si cewe udah jadi istri ke dua wkwwk"
"nisa_yusfita25","liat sa wkwk @el_saand"
"ayuka_piyik","udah jadi pelakor playing victim juga....ngerasa masa depan nya paling hancur.... 😒😒 say hey sama anak perempuan nya dek...masa depan nya lebih jauh dari kamu"
"dionwahyu9","Beginilah dampaknya kalo guru terlalu muda, kalo dulu guru kebanyakan sudah tua jadi seperti orangtua sendiri terpaut umurnya, kalo sekarang mah seumuran jg ada:)"
"mulii_yanaa","emang ga heran gw sama anak Sekolah jaman sekarang,  sekolah aja kaya mau adu skill 😂"
"mulii_yanaa","Gilaa si ini si bocilnya juga kegatalan,"
"khoerunissanmr","selingkuh itu penyakit, suka heran sama cewe yg masih maafin cowonya kalo udah selingkuh-,"
"ervikaaaa_","Takut jadi dendam di suatu hari.. udah Bu lepas aja. Selingkuh itu penyakit.."
"nadyasshh___","Banyakkk min kejadian gini, cuma baru up samape dunia maya yg heboh mereka 😅 #teamistrisah"
"yesichadian","lah bapak saya juga gitu, sampe nikah siri malah, umur selingkuhannya ga beda jauh dari saya 😂"
"ropi_690","Cantik kagak kegatelan iya tuh cewe kagak laku kali ya"
"deemuthia21","Pecat pak guru. Drop out si bocil yg punya bibit pelakor. Takut nular ke yg laen soalnya"
"its.fiyafi","Ini lakinya yg edan, ini loh namanya Grooming itu ya ini. Mungkin guru niatnya main-main doang awalnya Eh ternyata muridnya baper beneran, keterusan. Gila sumpah.  Dulu Guruku olah raga begini jg, kenapa ya guru olahraga pada begini, mana pas aku SMP si guru udah bapak-bapak anak nya dah SMA, aku liatnya 🤮🤮🤮 "
"lulunajjar07","Krisis apa ini namanya ...moral iman ? ..pelaku maksiat tambah banyak ..naudzubillah"
"kinagsfi_","Baru banget baca tread nya sakit gw yg jdi cewe aplagi istrinya"
"humearenjana","Uda bu guru cerain aja,,,,kasihin aja ama tu bocil. Mumpung ibu masih muda,karir cemerlang bu. Karena kalo udah sekali selingkuh pasti diulangin lagi. Ibarat kata makam di warung kok mau makanannya enak dan murah ya pasti balik lagi."
"dimasaddty","dia yang bikin ulah dia yang merasa tersakiti, dasar bocil"
"waqurrotul","Kalau belum nikah sih gapapa, lah ini udah beranak pinak pun masih gak tau diri"
"kalauhyun_","Dua-duanya sakit, yang satu ngaku terobsesi yang satu ga tau diri padahal udah punya bini.. pecat itu gurunya."
"triwindanurulannisa","Cowok gatel ketemu cewek gatel mah emang kaya gini, ga usah dikasi hati apalagi mau dimaafin, tinggalin aja langsung, selingkuh mah dah jadi penyakit, dimaafiin sekarang, paling nanti dilakuin lagi"
"marwensiudit_","Aku kerja di dunia pendidikan disana ada pasal yang mengatakan bahwa “DILARANG PUNYA HUBUNGAN LEBIH (BERPACARAN) DENGAN ANAK DIDIK”"
"ffinafitria","Ih jijik banget ih naudzubillahiminzalik😭😭"
"masbreeng","Yang kesorot satu padahal banyak yg beginian gurunya"
"yudythia","Kalau di Luar Negeri, itu guru pasti dipenjara, dipecat dr pekerjaan nya dan ga bisa lagi jd guru, karena berhubungan dengan anak dibawah umur dan muridnya. Ga tau ya kalau hukum di Indonesia"
"kekeeind","Saya juga guru, memang anak-anak sekarang banyak yg begitu, terobsesi dengan gurunya, ga perempuan ga laki-laki, disini yg paling salah adalah si guru laki-laki, karena dia ga bisa menempatkan diri dengan benar, anak SMA masih labil dan masih harus banget dibimbing"
"agsitaputri","Waduh kenapa makin serem aja ya dunia perselingkuhan. "
"sr.handayani","Dunia kerja semakin keras guys🥹, bukan sama rekan kerja tapi sama anak didik pula 🫠 astagfirullah🥲"
"ifanade","Bukan cuma sekarang dari dulu juga ada . Pokoknya enak dah jadi guru , di guguh dan di tiru 😊😁"
"bratajava48","Kalo jadi Bu guru mending tinggalin, sekali selingkuh ga ada obat, pasti selingkuh terus,"
"khalil_abdaa","Biarin aja asal jangan ayah kita yg selingkuh"
"rizra_26","Yang namanya kesetiaan makin langka dan tak ternilai harganya"
"ansdfw","Berarti emang cewe nya aja gatelan itu, ngajak foto duluan karena suka sama guru nya, lol"
"kresnawt","Udah ga aneh , jaman gue SMK juga ada kaya gitu, mana istrinya lagi menyusui, kalo stres kan bakal seret ya itu asi, tapi si guru ini ga mau kalo begitu, ya kalo ga mau asi si istri seret jangan bikin stress lah yaak😂😂trus ada juga guru tapi ini baru mau nikah, udah tunangan, calonnya guru TK , ngajakin gue jalan, nonton, makan, gue ga mau karna udah tau dia mau nikah dan takut kena karma gue mah😂"
"ayi_fadhilah","Wajib datengin rumah si bocil musyawarah sama orang tuanya minta maaf doang di chat ga bakal ngaruh bakal diulang lagi diulang lagi soalnya selingkuh itu penyakit kalo udah didatengin tuh orang tuanya terserah bu guru mau mempertahankan rumah tangga atau tidak(kalo aku sih milih ngga karna pak guru suatu saat bakal jelalatan lagi)"
"alipfdlh_","sebenarnya banyak, murid perempuan, pacaran sama guru olahraga, soalnya pernah kejadian dulu waktu di SMP😂"
"widyanrfh","Masih banyak sebenernya cerita gini . Cuman sekarang di berani apa nggak nya ada salah satu yg spek up huhu gila"
"fitri.zemahakimkhalid","Penyakit, pernah diposisi bu guru, ngingetin selingkuhan suami, balasan kata-katanya juga sama ""terserah mau maafin apa enggak yg penting udah minta maaf"". Menurut lu?"
"windagrcelia","Aku dan banyak temen-temen cewek juga dulu senang sama guru olahraga tp syukurnya dia masih single (belum punya istri) gak tau deh punya pacar apa gak kami gak peduli🤣😂 mana dia baru lulus lagi keknya karena umurnya muda 26 tahun😍🤣🤣"
"amamgnayas","Dunia udah gila 😨 kalau salah satu ada yg udah dewasa selingkuhnya gak cuma pegangan tangan 😱 rip guru"
"hrmnsaput","Alumni STM pasti ga kaget denger ini, sesuatu yang seharusnya disembunyikan, tetapi sudah diketahui orang banyak; rahasia yang sudah diketahui umum."
"ayudwi1401","Dulu deket juga sama guru Olahraga ada 2 yang satu ngemong kayak bapak ke anak jadi sewajarnya aja, yang satu beda tapi posisinya masih singel dan setelah ada kabar dia nikah dan masih genit auto ilfil 😂"
"dimasarrdian","Penyakit ini mah gak boleh jadi guru"
"nonafs05","Gua heran bocil skarenag tuh pada belum mandi apa gimana ya ko pada gatel bgt sama laki orang "
"vinirachmawati","pernah ngerasain emang sesakit, dan sehancur itu. ga mudah semangat ya kamu berhak mendapatkann kebahagiaan sayangi anak kamu, apaapun keputusannya kammu tetep menang semangat"
"naranara9234","Untung guru olahraga killer dan berumur semua dizaman ku😂 walaupun guru olahraga nya rada ganjen ga ada yang mau juga😂 disruh baris doang aja banyak yang nangis. Karena nada nya tegas...kalau Nemu siswi cantik langsung minta no hp..padahal udah ada anak istri😂 tapi di zaman itu istrinya kayak percaya percaya gitu dengan alibi ""membangun kepercayaan antara guru dan murid harus diawali dengan humble dan bercanda"". Dia gatau aja ganjennya gak ngotak..mungkin kalau dia masih muda pada mau mungkin 😂😂"
"lovy_ayu","sekarang orang salah suka ngomong gitu ya”kan aku udah minta maaf,terserah mau maafin apa ga”lah santai amat ya ngomong nya.minta maaf ada rasa bersalah ga?apa karena ketahuan?karena udh terlanjur viral?🫣"
"kirrnzz_","Lebih serem lagi sama anak2 jaman sekarang dibawah gua, gua yang tua kek bocil. Yang bocil kaya tante2 kelakuannya juga. Ga kaget😂"
"enengsli","Dunia ini isinya selingkuh doang"
"aditya_noor29","KALO KALIAN YANG MASIH PACARAN ATAU SUDAH NIKAH PASANGAN SELINGKUH TINGGALIN ITU PENYAKIT"
"adinnisani","Siswinya masih di bawah umur. Ga sadar sudah jadi korban grooming oleh gurunya."
"bukannegro","Salahnya pilih yang beruang ya begini, apa apa donatur, giliran di gini? Mau salahin siapa? Salah cowo udah pasti, salah cewe,? Keluar kata kata ( emang cowonya aja udah tau punya istri tapi masih aja ) lah piye ? Mamam itu donatur, di atur sama pacar yg bener cuma gara gara apa apa ngatur Mulu bukan donatur juga, lah macam apa cuk?"
"vahira_vahira13","Bukan nya sekolah yang bener, malah cari masalah. Dan kok bisa SE gapunya malu gitu,padahal d lingkup sekolah pasti semuanya udah faham si guru punya istri."
"madeay21","Jangan ditutupin Biar keliatan muka bocil udh jadi pelakor tunjukin aja kalau perlu spill aja enek gue sama kelakuan anak anak sok mantep jaman sekarang"
"kangde__","Sakit kedua nya, yang satu udah ada istri malah ngelantur, yg satu udah tau pasangannya udah ada istri malah terobsesi, stress."
"afrizaputrii","Bocil nya malah playing victim 😂 dia yg kelainan obsesi dengan suami orang, giliran ketahuan malah merasa menjadi korban 😂😂"
"__vinaaaa","kenapa si pada seneng banget sama punya orang, maen ambil aja"
"angyol__","Dr jaman batu guru olahraga emg mata keranjang. Ga semua sih, ya 80% lah. Karna setiap ke jenjang sekolah lainya guru olahraga gua mata keranjang semua😂"
"ris.k.here","Gue malah kepikiran emaknya tu bocil ga kebayang mungkin dia nyari uang ampe gimana buat sekolahin anaknya eh dia malah begitu disekolahan😢"
"adthrsss","Udah ga kaget si denger guru selingkuh sama siswi nya wkwk"
"caalbisass","Gak aneh. Mantan aku juga gini selingkuh sama bu guru yang udah punya suami. Mana suaminya tni lagi kasian. Untung aku baik ga aduin wkwkwk"
"susinurhalimah_31","Sudah tidak aneh, rata-rata Kebanyakan begitu guru dan murid menjalin hubungan meskipun sudah berumah tangga gurunya. 😂"
